meta;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1
hour;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
249;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
250;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
251;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
252;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
253;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
254;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
255;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
256;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
257;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
258;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
259;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
260;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
261;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
262;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
263;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
264;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
265;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
266;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
267;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
268;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
269;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
270;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
271;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
272;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
273;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
274;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
275;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
276;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
277;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
278;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
279;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
280;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
281;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
282;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
283;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
284;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
285;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
286;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
287;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
288;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
289;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
290;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
291;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
292;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
293;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
294;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
295;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
296;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
297;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
298;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
299;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
300;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
301;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
302;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
303;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
304;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
305;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
306;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
307;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
308;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
309;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
310;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
311;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
312;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
313;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
